planta,si pertenece a estrato 1,si pertenece a estrato 2,si pertenece a estrato 3,si pertenece a estrato 4
1,0,0,0,1
2,0,0,0,1
3,0,0,0,1
4,0,0,0,1
5,0,0,0,1
6,0,0,0,1
7,0,0,1,0
8,0,1,0,0
9,0,0,1,0
10,0,0,0,1
11,0,0,0,1
12,0,0,1,0
13,0,0,0,1
14,0,1,0,0
15,0,1,0,0
16,0,0,0,1
17,0,0,0,1
18,0,0,0,1
19,0,0,0,1
20,0,0,0,1
21,0,0,0,1
22,0,0,0,1
23,0,0,1,0
24,0,0,0,1
25,0,0,0,1
26,0,0,1,0
27,0,0,1,0
28,0,0,0,1
29,0,0,1,0
30,0,0,0,1
31,0,0,1,0
32,0,0,1,0
33,0,1,0,0
34,0,0,0,1
35,0,0,0,1
36,0,0,0,1
37,0,0,0,1
38,0,0,0,1
39,0,1,0,0
40,1,0,0,0
